Date,AMZN,BTC-USD,F
2023-05-06 00:00:00+00:00,,28904.623046875,
2023-05-07 00:00:00+00:00,,28454.978515625,
2023-05-08 00:00:00+00:00,105.83000183105469,27694.2734375,10.443509101867676
2023-05-09 00:00:00+00:00,106.62000274658203,27658.775390625,10.30449104309082
2023-05-10 00:00:00+00:00,110.19000244140625,27621.755859375,10.330557823181152
2023-05-11 00:00:00+00:00,112.18000030517578,27000.7890625,10.313179016113281
2023-05-12 00:00:00+00:00,110.26000213623047,26804.990234375,10.139411926269531
2023-05-13 00:00:00+00:00,,26784.078125,
2023-05-14 00:00:00+00:00,,26930.638671875,
2023-05-15 00:00:00+00:00,111.19999694824219,27192.693359375,10.113347053527832
2023-05-16 00:00:00+00:00,113.4000015258789,27036.650390625,9.774497032165527
2023-05-17 00:00:00+00:00,115.5,27398.802734375,9.991708755493164
2023-05-18 00:00:00+00:00,118.1500015258789,26832.208984375,10.113347053527832
2023-05-19 00:00:00+00:00,116.25,26890.12890625,10.122034072875977
2023-05-20 00:00:00+00:00,,27129.5859375,
2023-05-21 00:00:00+00:00,,26753.826171875,
2023-05-22 00:00:00+00:00,115.01000213623047,26851.27734375,10.104659080505371
2023-05-23 00:00:00+00:00,114.98999786376953,27225.7265625,10.191540718078613
2023-05-24 00:00:00+00:00,116.75,26334.818359375,9.84400463104248
2023-05-25 00:00:00+00:00,115.0,26476.20703125,9.887447357177734
2023-05-26 00:00:00+00:00,120.11000061035156,26719.291015625,10.504326820373535
2023-05-27 00:00:00+00:00,,26868.353515625,
2023-05-28 00:00:00+00:00,,28085.646484375,
2023-05-29 00:00:00+00:00,,27745.884765625,
2023-05-30 00:00:00+00:00,121.66000366210938,27702.349609375,10.938748359680176
2023-05-31 00:00:00+00:00,120.58000183105469,27219.658203125,10.426130294799805
2023-06-01 00:00:00+00:00,122.7699966430664,26819.97265625,10.521702766418457
2023-06-02 00:00:00+00:00,124.25,27249.58984375,10.76498031616211
2023-06-03 00:00:00+00:00,,27075.12890625,
2023-06-04 00:00:00+00:00,,27119.06640625,
2023-06-05 00:00:00+00:00,125.30000305175781,25760.09765625,10.938748359680176
2023-06-06 00:00:00+00:00,126.61000061035156,27238.783203125,11.23415470123291
2023-06-07 00:00:00+00:00,121.2300033569336,26345.998046875,11.807592391967773
2023-06-08 00:00:00+00:00,124.25,26508.216796875,11.798904418945312
2023-06-09 00:00:00+00:00,123.43000030517578,26480.375,11.937918663024902
2023-06-10 00:00:00+00:00,,25851.240234375,
2023-06-11 00:00:00+00:00,,25940.16796875,
2023-06-12 00:00:00+00:00,126.56999969482422,25902.5,11.972672462463379
2023-06-13 00:00:00+00:00,126.66000366210938,25918.728515625,12.276769638061523
2023-06-14 00:00:00+00:00,126.41999816894531,25124.67578125,12.337586402893066
2023-06-15 00:00:00+00:00,127.11000061035156,25576.39453125,12.55479907989502
2023-06-16 00:00:00+00:00,125.48999786376953,26327.462890625,12.528732299804688
2023-06-17 00:00:00+00:00,,26510.67578125,
2023-06-18 00:00:00+00:00,,26336.212890625,
2023-06-19 00:00:00+00:00,,26851.029296875,
2023-06-20 00:00:00+00:00,125.77999877929688,28327.48828125,12.354964256286621
2023-06-21 00:00:00+00:00,124.83000183105469,30027.296875,12.181195259094238
2023-06-22 00:00:00+00:00,130.14999389648438,29912.28125,12.328899383544922
2023-06-23 00:00:00+00:00,129.3300018310547,30695.46875,12.181195259094238
2023-06-24 00:00:00+00:00,,30548.6953125,
2023-06-25 00:00:00+00:00,,30480.26171875,
2023-06-26 00:00:00+00:00,127.33000183105469,30271.130859375,12.259391784667969
2023-06-27 00:00:00+00:00,129.17999267578125,30688.1640625,12.52004337310791
2023-06-28 00:00:00+00:00,129.0399932861328,30086.24609375,12.850205421447754
2023-06-29 00:00:00+00:00,127.9000015258789,30445.3515625,12.98922061920166
2023-06-30 00:00:00+00:00,130.36000061035156,30477.251953125,13.145613670349121
2023-07-01 00:00:00+00:00,,30590.078125,
2023-07-02 00:00:00+00:00,,30620.76953125,
2023-07-03 00:00:00+00:00,130.22000122070312,31156.439453125,13.24118423461914
