Date,AAPL,F,WMT
2018-05-10,44.78135681152344,7.788548469543457,24.657047271728516
2018-05-11,44.61103057861328,7.774651527404785,24.86279296875
2018-05-14,44.506961822509766,7.767704963684082,25.163965225219727
2018-05-15,44.102455139160156,7.79549503326416,25.202728271484375
2018-05-16,44.51405334472656,7.92055606842041,25.682815551757812
2018-05-17,44.232574462890625,7.962244033813477,25.19378662109375
2018-05-18,44.07170104980469,7.871921062469482,24.94032859802246
2018-05-21,44.38395309448242,7.996982574462891,25.19975471496582
2018-05-22,44.272769927978516,8.003931999206543,24.859819412231445
2018-05-23,44.556636810302734,7.9483489990234375,24.752470016479492
2018-05-24,44.506961822509766,8.073408126831055,24.704761505126953
2018-05-25,44.608673095703125,7.996982574462891,24.588468551635742
2018-05-29,44.447818756103516,7.9483489990234375,24.570575714111328
